"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет вход через кнопку в форме восстановления пароля","12445","loginFromLoginButtonForgotPasswordPage","","Thu Jul 10 13:15:34 CEST 2025","passed","Thu Jul 10 13:15:47 CEST 2025","","ru.yandex.praktikum.LoginUserTests","ru.yandex.praktikum.LoginUserTests","loginFromLoginButtonForgotPasswordPage"
"Проверка успешного перехода с главной страницы в личный кабинет","14750","goToProfilePage","","Thu Jul 10 13:14:22 CEST 2025","passed","Thu Jul 10 13:14:37 CEST 2025","","ru.yandex.praktikum.AccessProfileTests","ru.yandex.praktikum.AccessProfileTests","goToProfilePage"
"Проверка выхода по кнопке «Выйти» в личном кабинете","11940","LogoutUserFromProfile","","Thu Jul 10 13:15:47 CEST 2025","passed","Thu Jul 10 13:15:59 CEST 2025","","ru.yandex.praktikum.LogoutUserTest","ru.yandex.praktikum.LogoutUserTest","LogoutUserFromProfile"
"Проверка перехода на вкладку конструктора: {tabName}","8436","checkConstructorTabIsActive[Вкладка: Соусы]","","Thu Jul 10 13:14:46 CEST 2025","passed","Thu Jul 10 13:14:55 CEST 2025","","ru.yandex.praktikum.ConstructorTabsParametrizedTests","ru.yandex.praktikum.ConstructorTabsParametrizedTests","checkConstructorTabIsActive[Вкладка: Соусы]"
"Проверка перехода по клику на «Конструктор»","10858","goToMainPageFromBuilderOnProfile","","Thu Jul 10 13:16:17 CEST 2025","passed","Thu Jul 10 13:16:28 CEST 2025","","ru.yandex.praktikum.SwitchFromProfileTests","ru.yandex.praktikum.SwitchFromProfileTests","goToMainPageFromBuilderOnProfile"
"Проверяет вход через кнопку «Личный кабинет» на главной","10309","loginFromPersonalAccountButtonMainPage","","Thu Jul 10 13:15:24 CEST 2025","passed","Thu Jul 10 13:15:34 CEST 2025","","ru.yandex.praktikum.LoginUserTests","ru.yandex.praktikum.LoginUserTests","loginFromPersonalAccountButtonMainPage"
"Проверка перехода по клику на логотип Stellar Burgers","10885","goToMainPageFromLogoOnProfile","","Thu Jul 10 13:16:28 CEST 2025","passed","Thu Jul 10 13:16:39 CEST 2025","","ru.yandex.praktikum.SwitchFromProfileTests","ru.yandex.praktikum.SwitchFromProfileTests","goToMainPageFromLogoOnProfile"
"Проверка перехода на вкладку конструктора: {tabName}","9305","checkConstructorTabIsActive[Вкладка: Булки]","","Thu Jul 10 13:14:37 CEST 2025","passed","Thu Jul 10 13:14:46 CEST 2025","","ru.yandex.praktikum.ConstructorTabsParametrizedTests","ru.yandex.praktikum.ConstructorTabsParametrizedTests","checkConstructorTabIsActive[Вкладка: Булки]"
"Проверяет вход по кнопке «Войти в аккаунт» на главной","10077","loginFromLoginButtonMainPage","","Thu Jul 10 13:15:14 CEST 2025","passed","Thu Jul 10 13:15:24 CEST 2025","","ru.yandex.praktikum.LoginUserTests","ru.yandex.praktikum.LoginUserTests","loginFromLoginButtonMainPage"
"Проверка успешной регистрации пользователя","10035","registerNewUserValidData","","Thu Jul 10 13:15:59 CEST 2025","passed","Thu Jul 10 13:16:09 CEST 2025","","ru.yandex.praktikum.RegisterNewUserTest","ru.yandex.praktikum.RegisterNewUserTest","registerNewUserValidData"
"Проверка перехода на вкладку конструктора: {tabName}","8480","checkConstructorTabIsActive[Вкладка: Начинки]","","Thu Jul 10 13:14:55 CEST 2025","passed","Thu Jul 10 13:15:03 CEST 2025","","ru.yandex.praktikum.ConstructorTabsParametrizedTests","ru.yandex.praktikum.ConstructorTabsParametrizedTests","checkConstructorTabIsActive[Вкладка: Начинки]"
"Проверка регистрации пользователя с коротким паролем. Ошибка для некорректного пароля","8723","registerNewUserErrorShortPassword","","Thu Jul 10 13:16:09 CEST 2025","passed","Thu Jul 10 13:16:17 CEST 2025","","ru.yandex.praktikum.RegisterNewUserTest","ru.yandex.praktikum.RegisterNewUserTest","registerNewUserErrorShortPassword"
"Проверяет вход через кнопку в форме регистрации","10879","loginFromLoginButtonRegisterPage","","Thu Jul 10 13:15:03 CEST 2025","passed","Thu Jul 10 13:15:14 CEST 2025","","ru.yandex.praktikum.LoginUserTests","ru.yandex.praktikum.LoginUserTests","loginFromLoginButtonRegisterPage"
